Birra panaché (media) Bevande alcoliche/Birra	100	0.2	0	7.4	0	1.3	7.1	0	2.6	0	24	7	13	valorinutritivi.ch
Birra, analcolica Bevande alcoliche/Birra	100	0.4	0	4.9	0	0.3	2.6	0	1.5	0	34	11	19	valorinutritivi.ch
Birra, lager Bevande alcoliche/Birra	100	0.5	0	3.1	0	4	2.2	0	1.9	0	55	19	17	valorinutritivi.ch
Biscotti al cocco Dolciumi/Biscotti	100	6.8	41.4	37.1	9.4	0	35.9	39.1	98	0	480	120	260	valorinutritivi.ch
Biscotti alle nocciole Dolciumi/Biscotti	100	6.7	27.7	47.4	3.5	0	23.3	8	52	32	220	160	30	valorinutritivi.ch
Biscotti prussiani Dolciumi/Biscotti	100	4.7	22.4	53.8	1.2	0	27.4	13.2	310	59	75	52	480	valorinutritivi.ch
Biscotti savoiardi Dolciumi/Biscotti	100	12.2	8.3	71.8	1.4	0	34.9	2.4	310	281	140	330	150	valorinutritivi.ch
Blanc battu alla frutta, con edulcoranti Latte e prodotti di latte/Formaggio fresco e quark	100	8	0.2	8.4	0.3	0	5.3	0.1	48	0	180	140	110	valorinutritivi.ch
Blanc battu, naturale, magro Latte e prodotti di latte/Formaggio fresco e quark	100	7.8	0	3.9	0	0	3.9	0	44	1	140	120	89	valorinutritivi.ch
Bombolone farcito  Dolciumi/Altre pasticceri dolci	100	8.4	12.8	45.8	2.2	0	17.1	6.8	250	104	110	100	400	valorinutritivi.ch
Bresaola Prodotti carnei e insaccati/Insaccati crudi	100	32.4	3.9	0.4	0	0	0	1.6	2730	65	320	140	0	valorinutritivi.ch
Broccoli, al vapore (senza aggiunta di sale) Verdure/Verdure cotte (incl. conserve)	100	2.7	0.4	2.2	2.7	0	2.1	0.1	11	0	300	61	71	valorinutritivi.ch
Broccoli, crudi Verdure/Verdure fresche	100	3	0.4	2.4	3	0	2.3	0.1	13	0	370	67	78	valorinutritivi.ch
Brodo di carne preparato Cibi/Brodi e zuppe	100	0.3	0.3	0.2	0	0	0	0.2	420	0	54	13	330	valorinutritivi.ch
Brodo di pollo preparato Cibi/Brodi e zuppe	100	0.3	0.3	0.3	0	0	0.1	0.1	400	5	10	5	290	valorinutritivi.ch
Brodo di verdura, preparato Cibi/Brodi e zuppe	100	0.3	0.4	0.4	0	0	0.1	0.1	360	0	8	3	280	valorinutritivi.ch
Brunsli di Basilea Dolciumi/Biscotti	100	14.8	29.9	43.3	6.8	0	39.4	5.7	56	0	550	270	100	valorinutritivi.ch
Buccia d'arancia candita Dolciumi/Altri dolciumi	100	0.4	0.3	74.3	2.3	0	74.3	0.1	1	0	70	7	1	valorinutritivi.ch
Budino, al caramello Dolciumi/Creme e budini	100	3.4	2.1	23	0.1	0	20.1	1.4	70	12	150	77	95	valorinutritivi.ch
Budino, al cioccolato Dolciumi/Creme e budini	100	3	2.6	21	1	0	12.1	0.5	130	3	180	80	51	valorinutritivi.ch
Budino, alla vaniglia Dolciumi/Creme e budini	100	2.8	2.1	18	0.1	0	10.4	0.3	140	7	120	40	120	valorinutritivi.ch
Bürli di San Gallo (farina semi-bianca) Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria	100	9.1	1	44.6	3.5	0	0.3	0.1	840	0	140	130	1280	valorinutritivi.ch
Burro da cucina Latte e prodotti di latte/Panna e burro;Grassi e oli/Grassi	100	0.5	82.2	0.7	0	0	0.6	49.3	10	221	20	21	12	valorinutritivi.ch
Burro del caseificio Latte e prodotti di latte/Panna e burro;Grassi e oli/Grassi	100	0.4	82.5	0.6	0	0	0.5	49.5	10	246	18	18	11	valorinutritivi.ch
Burro di arachidi Dolciumi/Confettura e prodotti dolci da spalmare sul pane	100	26.1	51.8	12.5	7.6	0	6.4	12.8	350	0	700	330	520	valorinutritivi.ch
Burro di cacao Grassi e oli/Grassi	100	0	100	0	0	0	0	61.1	0	3	1	0	0	valorinutritivi.ch
Burro per arrostire Latte e prodotti di latte/Panna e burro;Grassi e oli/Grassi	100	0.1	98.3	0	0	0	0	58.9	10	282	5	0	5	valorinutritivi.ch
Burro semigrasso Latte e prodotti di latte/Panna e burro;Grassi e oli/Grassi	100	4.8	39.8	3.5	0	0	3.5	24.1	120	140	160	90	120	valorinutritivi.ch
Burro speciale Latte e prodotti di latte/Panna e burro;Grassi e oli/Grassi	100	0.7	82.3	0.7	0	0	0.6	49.4	0	241	21	22	13	valorinutritivi.ch
Cacao in polvere Dolciumi/Cioccolato e prodotti a base di cacao;Bevande analcoliche/Bevande al cacao	100	22.5	24.5	10.8	32.7	0	2.2	14.4	17	0	1920	660	32	valorinutritivi.ch
Cachi, crudo Frutta/Frutta fresca	100	0.7	0.2	15.3	2.5	0	15.3	0	2	0	170	20	18	valorinutritivi.ch
Caffè lungo, con cremino, non zuccherato Bevande analcoliche/Caffè	100	0.3	1.1	0.5	0.1	0	0.3	0.7	6.9	4	35	8.7	6.4	valorinutritivi.ch
Caffè solubile, in polvere Bevande analcoliche/Caffè	100	11.2	0	42.6	19.1	0	3.6	0	58	0	4380	350	50	valorinutritivi.ch
Caffè, nero, non zuccherato Bevande analcoliche/Caffè	100	0.1	0	0.3	0.1	0	0	0	1.3	0	26	2.1	1.3	valorinutritivi.ch
Caffelatte (scuro), non zuccherato Latte e prodotti di latte/Bevande a base di latte e yogurt;Bevande analcoliche/Caffè	100	0.7	0.9	1.2	0.1	0	1	0.5	9.2	3	54	21	21	valorinutritivi.ch
Caffelatte, chiaro, non zuccherato Latte e prodotti di latte/Bevande a base di latte e yogurt;Bevande analcoliche/Caffè	100	1	1.2	1.6	0.1	0	1.4	0.8	13	5	65	29	30	valorinutritivi.ch
Caffelatte, non zuccherato Latte e prodotti di latte/Bevande a base di latte e yogurt;Bevande analcoliche/Caffè	100	0.9	1.1	1.4	0.1	0	1.3	0.7	11	4	61	26	26	valorinutritivi.ch
Cake alla finanziera Dolciumi/Dolci, torte e cake	100	11	26.1	38.5	3.3	0	29.9	8	45	31	260	150	56	valorinutritivi.ch
Cake alla tirolese Dolciumi/Dolci, torte e cake	100	8.3	23.1	41.4	2.5	0	20.4	10.3	55	95	250	130	100	valorinutritivi.ch
Cake marmorizzato Dolciumi/Dolci, torte e cake	100	7.4	17.1	42.6	1.3	0	19.7	9.5	63	109	140	110	110	valorinutritivi.ch
Calamaro, crudo Pesce/Frutti di mare e crostacei	100	16	1.1	2.3	0	0	0	0.2	160	150	270	200	0	valorinutritivi.ch
Calimocho (Vino rosso con cola) Bevande alcoliche/Altre bevande alcoliche;Bevande analcoliche/Bevande zuccherate	100	0.1	0	5.2	0	4.8	5.1	0	7	0	58	15	10	valorinutritivi.ch
Cannella Diversi/Sale, spezie e aromi	100	3.9	3.2	56	24.4	0	55.4	0.9	26	0	500	61	220	valorinutritivi.ch
Cannelloni con carne, preparati Cibi/Cibi italiani	100	9.5	9	13.7	1.7	0	2.3	4.8	270	34	150	120	520	valorinutritivi.ch
Cannelloni con ricotta e spinaci, preparati Cibi/Cibi italiani	100	7.8	14.2	14.5	1.7	0	1.7	8.2	340	38	200	160	590	valorinutritivi.ch
Cappuccino (senza polvere di cioccolato), non zuccherato Latte e prodotti di latte/Bevande a base di latte e yogurt;Bevande analcoliche/Caffè	100	1.7	2.2	2.6	0	0	2.5	1.3	21	8	93	50	52	valorinutritivi.ch
Capra (in media), cruda Carne e frattaglie/Altre specie animali	100	19.5	7.9	0	0	0	0	3.6	50	70	300	190	9	valorinutritivi.ch
Capriolo (in media), crudo  Carne e frattaglie/Selvaggina	100	22.4	3.6	0	0	0	0	1.6	84	70	340	220	40	valorinutritivi.ch
Capriolo, spezzatino, crudo Carne e frattaglie/Selvaggina	100	22	1.9	0	0	0	0	0.5	45	65	310	180	40	valorinutritivi.ch
Capuns, preparati Cibi/Altri cibi salati/saporiti	100	8.1	10.2	9.6	0.9	0	1.1	5.1	380	59	180	85	550	valorinutritivi.ch
Caramella alla panna Dolciumi/Caramelle e gomme da masticare	100	0.4	3.6	79.3	0	0	79.3	2.2	120	11	120	16	25	valorinutritivi.ch
Caramella dura Dolciumi/Caramelle e gomme da masticare	100	0.5	0.3	95	0	0	95	0.2	25	0	9	12	73	valorinutritivi.ch
Caramella gommosa all'aroma di frutta Dolciumi/Caramelle e gomme da masticare	100	6.6	0	78.6	0	0	74.7	0	62	0	12	4	160	valorinutritivi.ch
Caramella morbida Dolciumi/Caramelle e gomme da masticare	100	2.1	17.2	71.1	0	0	71.1	10.1	320	0	210	64	400	valorinutritivi.ch
Carciofo, cuore, in scatola, sgocciolato Verdure/Verdure cotte (incl. conserve)	100	1.8	0.5	2.3	3.2	0	1.2	0	310	0	150	34	500	valorinutritivi.ch
Carne (in media, senza interiora), cruda Carne e frattaglie/Vitello;Carne e frattaglie/Manzo;Carne e frattaglie/Maiale;Carne e frattaglie/Agnello, pecora;Carne e frattaglie/Pollame;Carne e frattaglie/Selvaggina	100	21.4	6.7	0	0	0	0	2.4	59	62	330	190	66	valorinutritivi.ch
