Nome,Categoria,Densità,Unità di riferimento,"Energia, kilojoules (kJ)","Energia, calorie (kcal)","Lipidi, totali (g)","Acidi grassi, saturi (g)","Acidi grassi, monoinsaturi (g)","Acidi grassi, polinsaturi (g)",Colesterolo (mg),"Glucidi, disponibili (g)",Zuccheri (g),Amido (g),Fibra alimentare (g),Proteine (g),Sale (NaCl) (g),Alcool (g),Acqua (g),"Attività di vitamina A, RE (µg-RE)","Attività di vitamina A, RAE (µg-RE)",Retinolo (µg),Attività di beta-carotene (µg-BCE),Beta-carotene (µg),Vitamina B1 (tiamina) (mg),Vitamina B2 (riboflavina) (mg),Vitamina B6 (piridossina) (mg),Vitamina B12 (cobalamina) (µg),Niacina (mg),Folati (µg),Acido pantotenico (mg),Vitamina C (acido ascorbico) (mg),Vitamina D (calciferolo) (µg),Attività di vitamina E (mg-ATE),Potassio (K) (mg),Sodio (Na) (mg),Cloro (Cl) (mg),Calcio (Ca) (mg),Magnesio (Mg) (mg),Fosforo (P) (mg),Ferro (Fe) (mg),Iodio (I) (µg),Zinco (Zn)  (mg),Selenio (Se) (µg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riso al latte, preparato (con latte intero, senza aggiunta di zucchero)",Dolciumi/Creme e budini,,per 100 g di parte edibile,600,143,5.1,3.1,1.2,0.3,19,19,5.6,13.4,0.2,5.1,0.2,0,70.6,57,55,53,23,23,0.03,0.26,0.04,0.18,0.43,6,0.44,0.9,0.1,0.17,200,85,180,150,17,130,0.1,12,0.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riso al latte, preparato (con latte parzialmente scremato, senza aggiunta di zucchero)",Dolciumi/Creme e budini,,per 100 g di parte edibile,544,129,3.5,2.1,0.8,0.2,14,19,5.6,13.4,0.2,5.3,0.2,0,72,41,40,39,17,17,0.03,0.22,0.04,0.17,0.43,6,0.45,0.4,0.1,0.11,200,85,180,150,17,130,0.1,13,0.6,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riso integrale, bollito in acqua salata (sale non iodato)","Prodotti a base di cereali, legumi e patate/Riso",,per 100 g di parte edibile,532,126,1,0.2,0.3,0.3,0,25.7,0.2,25.5,1.8,2.7,1.5,0,69,0,0,0,0,0,0.07,0.01,0.02,0,1.22,12.7,0.29,0,0,0.08,66,610,1000,8.6,45,59,0.4,1.1,0.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riso integrale, secco","Prodotti a base di cereali, legumi e patate/Riso",,per 100 g di parte edibile,1480,350,2.8,0.6,0.9,1,0,71.4,0.6,70.8,5,7.4,0,0,12.6,0,0,0,0,0,0.35,0.05,0.12,0,4.3,48,1.02,0,0,0.2,220,4.1,230,11,120,160,1.1,2.2,1.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riso raffinato, bollito in acqua salata (sale non iodato)","Prodotti a base di cereali, legumi e patate/Riso",,per 100 g di parte edibile,491,116,0.3,0.1,0.1,0.1,0,25.8,0.1,24.5,0.3,2.3,1.3,0,71.4,0,0,0,0,0,0.02,0.01,0.01,0,0.48,4.5,0.11,0,0,0.02,15,530,800,6.6,8.8,37,0.1,0.9,0.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riso raffinato, secco","Prodotti a base di cereali, legumi e patate/Riso",,per 100 g di parte edibile,1490,352,0.9,0.2,0.3,0.3,0,78,0.2,77.8,1,7.4,0,0,12.3,0,0,0,0,0,0.09,0.04,0.08,0,1.92,19.3,0.43,0,0,0.05,85,0.5,27,5.8,24,120,0.2,1.9,1.1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riso tipo parboiled, bollito in acqua salata (sale non iodato)","Prodotti a base di cereali, legumi e patate/Riso",,per 100 g di parte edibile,510,120,0.3,0.1,0.1,0.1,0,26.7,0.1,23.3,0.4,2.4,1.4,0,70.2,0,0,0,0,0,0.05,0.01,0.02,0,1.28,3.1,0.2,0,0,0.02,29,540,830,24,11,56,0.1,1,0.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riso tipo parboiled, secco","Prodotti a base di cereali, legumi e patate/Riso",,per 100 g di parte edibile,1510,356,1,0.2,0.3,0.3,0,78.6,0.4,72.1,1.3,7.5,0,0,11.3,0,0,0,0,0,0.28,0.04,0.12,0,5.02,13,0.79,0,0,0.05,160,0.9,40,58,32,170,0.4,2.2,1.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Risotto ai funghi, cotto",Cibi/Altri cibi salati/saporiti,,per 100 g di parte edibile,538,128,3.8,1.9,1.4,0.3,7,18.5,0.6,16.9,1.5,4.1,0.5,0,72.4,28,27,26,12,12,0.02,0.07,0.03,0.08,0.94,6.4,0.47,0.5,0.6,0.33,54,210,370,71,10,81,0.2,3.3,0.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Risotto senza formaggio, cotto","Prodotti a base di cereali, legumi e patate/Riso",,per 100 g di parte edibile,523,124,1.5,0.2,1,0.2,0,24.9,0.7,23,0.5,2.3,0.6,0,70.9,0,0,0,1,1,0.02,0.01,0.02,0,0.47,4.6,0.11,0.3,0,0.32,20,250,380,8.6,8.8,38,0.1,0.9,0.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ristretto, con cremino, non zuccherato",Bevande analcoliche/Caffè,1,per 100 g di parte edibile,194,47,4.3,2.6,1,0.2,14,1.3,1.1,0,0.1,0.8,0.1,0,93.6,43,41,39,23,23,0,0.04,0.01,0.14,0.12,0.8,0.12,0.3,0.1,0.1,59,23,21,33,4.7,28,0,3.2,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riz Casimir con pollo, preparato",Cibi/Altri cibi salati/saporiti,,per 100 g di parte edibile,527,125,3.3,0.8,1.7,0.6,16,16.1,3.4,11.2,1,7.2,0.7,0,72.6,63,36,9,324,324,0.06,0.07,0.15,0.04,2.3,5.7,0.26,3.9,0.2,0.98,140,300,480,23,21,80,0.5,1.2,0.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riz Casimir con vitello, preparato",Cibi/Altri cibi salati/saporiti,,per 100 g di parte edibile,519,123,3.4,0.8,1.7,0.6,17,16.1,3.4,11.2,1,6.6,0.8,0,73,63,36,9,325,325,0.05,0.08,0.09,0.22,0.82,5.3,0.38,3.9,0.9,0.98,140,300,480,23,20,81,0.5,1.4,1.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rognone di vitello, crudo",Carne e frattaglie/Vitello,,per 100 g di parte edibile,470,112,5,2.2,1.2,0.3,364,1,tr.,0,0,15.8,0.4,0,77,210,210,210,0,0,0.37,2.5,0.5,28.2,6.47,80,4,12.7,0.5,0.2,270,180,250,11,16,240,12,4.2,1.8,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rollmops ,Pesce/Prodotti della pesca,,per 100 g di parte edibile,1130,270,15.9,3.7,7.9,3,60,19.6,18,0,0,12,3,0,49.3,13,13,13,0,0,0.03,0.17,tr.,6.6,2.5,1.8,0.1,0,12.4,1.6,44,1180,tr.,30,6.4,52,0.9,32,0.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rosmarino, fresco",Verdure/Erbe aromatiche,,per 100 g di parte edibile,260,62,2.5,0.5,0.1,1.4,0,7.7,7.6,0.1,2.9,0.8,0,0,85,92,46,0,550,550,0.09,0.12,0.05,0,0.17,0,0,16.5,0,0.86,160,8,33,210,36,12,4.8,1,0.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rösti (patate pronte da arrostire, prodotto pronto al consumo)","Prodotti a base di cereali, legumi e patate/Patate",,per 100 g di parte edibile,629,150,5.7,0.4,4.2,0.8,0,20.7,0.9,19.5,2.7,2.6,1.3,0,68.2,1,1,0,6,6,0.1,0.06,0.16,0,1.45,17.3,0.43,20.9,0,1.83,450,500,810,7.8,24,62,0.5,5.4,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rucola, cruda",Verdure/Verdure fresche,,per 100 g di parte edibile,119,28,0.7,0.1,0.1,0.3,0,2.1,2.1,tr.,1.6,2.6,0.1,0,91.7,397,198,0,2381,2244,0.08,0.09,0.14,0,0.3,97,0.23,15,0,0.43,370,27,tr.,160,tr.,52,1.5,tr.,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salame,Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,1520,367,30.1,11.3,13.4,2.7,84,tr.,tr.,0,0,24.1,3.9,0,40.2,5,5,5,4,4,0.81,0.24,0.3,0.98,7.81,3,1,18.6,1.7,tr.,390,1560,2550,tr.,18,200,1.3,0.9,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salame (linea economica),Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,1750,422,37.1,13.6,15.7,3.1,76,0,0,0,0,22,3.8,0,36,0,0,0,nd,nd,0.47,0.15,0.24,1.1,5.9,nd,0.9,13.7,2.3,0,330,1530,2410,0,17,nd,1.2,nd,2.7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salame affumicato,Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,2120,513,47,17.9,22,4.8,85,0.9,0.9,0,0,21.4,4,0.1,30.6,8,8,8,5,5,0.54,0.25,0.33,3.3,6.14,3,0.58,70.8,0,0.76,360,1590,2340,5,23,180,1.5,0.8,2.9,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salame di campagna,Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,2200,532,49.5,18.7,23.2,5.2,84,0.8,0.8,0,0,20.6,3.9,0.1,28.9,7,7,7,4,4,0.55,0.24,0.33,3.03,5.84,2.8,0.55,70.5,0,0.77,340,1580,2330,5.1,22,170,1.4,0.9,2.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salame svizzero, maiale e manzo",Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,2020,488,43.7,16.6,20.4,4.5,90,1.3,1.3,0,0,22,4,0.1,32.8,8,7,7,4,4,0.73,0.25,0.4,2.82,5.9,3,0.65,42.3,0,0.73,310,1590,2330,3.8,24,170,1.4,0.9,2.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salametto,Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,1420,343,31.4,11.8,14.7,3.3,59,0.3,0.3,0,0,14.8,2.8,0,53.5,5,5,5,2,2,0.46,0.17,0.28,1.9,3.95,2.1,0.41,0,0,0.52,250,1120,1650,3,16,130,0.9,0.6,1.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salatini tipo sils, secchi (bretzel, sticks)",Snack salati/Bastonicini salati e brezel,,per 100 g di parte edibile,1530,361,4.1,1,1.6,1.2,0,72.1,0.4,71.4,0.7,8.6,4.3,0,14.5,17,16,15,8,8,0.01,0.04,0,0,0.67,0,0,0,0.1,1.12,120,1710,2490,140,0,120,0.7,0,0.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sale da cucina con iodo,"Diversi/Sale, spezie e aromi",,per 100 g di parte edibile,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39200,59800,10,1,8,0.3,2500,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sale da cucina con iodo e fluoro,"Diversi/Sale, spezie e aromi",,per 100 g di parte edibile,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39900,59900,10,1,8,0.3,2500,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sale da cucina senza iodo e fluoro,"Diversi/Sale, spezie e aromi",,per 100 g di parte edibile,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39900,59900,10,1,8,0.3,20,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sale, dell'Himalaya","Diversi/Sale, spezie e aromi",,per 100 g di parte edibile,0,0,0,0,0,0,0,0,0,0,0,0,95,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,nd,0,0,0,38000,58300,140,nd,tr.,24,0,0,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sale, marino, fiore di sale","Diversi/Sale, spezie e aromi",,per 100 g di parte edibile,0,0,0,0,0,0,0,0,0,0,0,0,95,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,nd,0,0,140,37900,57900,110,420,tr.,tr.,3.8,0,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sale, sale marino, standard, bianco, senza aggiunta di iodio e fluoro","Diversi/Sale, spezie e aromi",,per 100 g di parte edibile,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,nd,0,0,17,39700,57900,30,37,tr.,tr.,1.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salmone d'allevamento, crudo",Pesce/Pesci di mare,,per 100 g di parte edibile,834,200,13.4,2.2,4.9,2.5,66,0,0,0,0,19.9,0.1,0,67,11,11,11,0,0,0.21,0.14,0.5,6.9,8.2,13,2,1,8.3,1.4,440,57,nd,12,28,250,0.4,44,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salmone d'allevamento, filetto, al vapore (senza aggiunta di grassi o sale)",Pesce/Pesci di mare,,per 100 g di parte edibile,751,180,11.7,1.9,4.3,2.2,83,0,0,0,0,18.7,0.2,0,69.6,10,10,10,0,0,0.2,0.12,0.44,6.9,7.18,11.4,1.75,1,7.3,1.23,410,61,nd,15,30,260,0.4,49,0.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salmone selvatico, crudo",Pesce/Pesci di mare,,per 100 g di parte edibile,760,182,11.5,1.8,4.4,1.9,50,0,0,0,0,19.7,0.2,0,65,0,0,0,0,0,0.2,0.15,0.6,6.9,7,13,2,0,8.4,1.3,480,63,nd,8,30,260,0.4,53,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salmone, affumicato",Pesce/Pesci di mare,,per 100 g di parte edibile,698,167,8.2,1.8,2.7,2.7,50,0,0,0,0,23.2,4.1,0,62.5,7,7,7,0,0,0.25,0.16,0.64,4.3,8.7,3,0.71,0,6.3,1.8,410,1660,nd,10,27,310,0,56,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salsa ai funghi, legata",Diversi/Salse,,per 100 g di parte edibile,547,132,8.9,5.4,2.1,0.5,28,8.5,4,4.4,0.7,3.9,0.6,0,78.1,89,86,83,37,37,0.02,0.21,0.03,0.13,0.5,4.3,0.48,0.8,0.4,0.23,170,250,410,110,11,90,0.1,8.7,0.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsa al pomodoro,Diversi/Salse,,per 100 g di parte edibile,288,69,2.1,0.5,0.9,0.6,0,9.7,4.1,5.5,1.9,1.8,1.4,0,82.5,121,62,3,709,709,0.06,0.05,0,0,1,12,0.3,11,0.1,0.5,360,540,tr.,23,17,33,1.4,1.6,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsa alla cacciatora,Diversi/Salse,,per 100 g di parte edibile,245,58,1.8,0.5,0.7,0.2,0,8,2.5,5.5,0.5,2.2,1.5,0,85.8,43,23,2,247,247,0.01,0.06,0.01,tr.,0.5,4,0.16,1.4,0.4,0.08,120,620,560,17,8,47,0.7,4,0.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salsa besciamella, fatta in casa",Diversi/Salse,,per 100 g di parte edibile,612,147,9.9,6,2.3,0.5,31,10.1,4.8,5.3,0.2,4.2,0.7,0,75.5,98,95,91,41,41,0.03,0.22,0.03,0.15,0.16,2.7,0.33,0.7,0.2,0.24,170,300,490,120,12,99,0.1,9.9,0.4,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salsa cocktail, con maionese di colza, fatta in casa ",Diversi/Salse,,per 100 g di parte edibile,2870,696,74.5,6.2,43.6,19.6,157,3.9,3.7,0.2,0.2,2.4,0.7,0,19,78,67,56,130,130,0.04,0.09,0.07,0.43,0.19,16.9,0.6,2.7,0.7,24.37,91,290,460,21,5.3,77,0.9,14,0.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salsa d'arrosto, chiara",Diversi/Salse,,per 100 g di parte edibile,182,44,2.5,0.5,1.3,0.3,0,3.5,1.5,2,0.5,1.5,2.3,0,90.6,1,1,1,0,0,0.02,0.04,0.03,tr.,0.58,3,0.08,1.7,tr.,0.14,95,900,610,18,8,40,0.6,3,0.8,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salsa d'arrosto, legata",Diversi/Salse,,per 100 g di parte edibile,221,53,3,0.7,1.3,0.3,0,4.6,0.8,3.7,0.5,1.6,1.4,0,88.8,48,25,2,273,273,0.02,0.04,0.03,tr.,0.58,3,0.08,1.7,tr.,0.1,95,580,610,18,8,40,0.6,3,0.8,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsa di soia,Diversi/Salse,1.12,per 100 g di parte edibile,236,56,0.6,0.1,0.1,0.3,0,4.1,0.4,tr.,0.8,8.1,14,0,71.2,0,0,0,0,0,0.03,0.17,0.15,0,2.2,14,0.3,0,0,0,440,5490,8200,33,74,170,1.5,1,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsa olandese,Diversi/Salse,,per 100 g di parte edibile,876,212,18,9,5.3,0.7,60,9.3,6.2,3.1,0.1,3,1,0,66.2,230,184,138,550,550,0.03,0.06,0,0.3,0,18,0.5,6,0.5,8.08,45,400,400,41,6,30,0.7,4.5,0.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salsa per insalata aceto-olio"", fatta in casa (con olio di colza)""",Grassi e oli/Salse per insalate,1.1,per 100 ml,1300,315,33.1,2.4,19.7,8.9,0,3,2.8,0,0.9,0.9,0.7,0,62.1,1,1,0,7,7,0.03,0.01,0.04,0,0.17,3.8,0.06,2.3,0,10.99,61,270,400,18,11,27,0.2,3.4,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salsa per insalata , fatta in casa (con olio di colza)",Grassi e oli/Salse per insalate,1.1,per 100 ml,1770,430,46.9,5.4,19.8,19.3,48,0.8,0.5,0,0.4,0.9,1.3,0,51,4,3,3,5,5,0.02,0.02,0.03,0.16,0.09,4.4,0.18,0,0.2,20.87,39,510,730,16,12,35,0.4,5.9,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salsa per insalata italiana, fatta in casa (con olio d'oliva)",Grassi e oli/Salse per insalate,1.1,per 100 ml,1910,464,50.7,6,38.1,3.8,0,1.4,0.3,1,0.1,0.4,0.7,0,47.3,7,4,0,44,44,0.01,0,0.05,0,0.03,0.1,0.03,1.3,0,15.67,39,290,490,5.5,5.6,14,0.2,3,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salsa per insalata, francese",Grassi e oli/Salse per insalate,,per 100 g di parte edibile,1480,360,37.3,4.2,13.2,18.2,75,4.5,4.4,0,0.3,1.4,2,0,53,26,26,26,2,2,0.02,0.03,0.02,0.16,0.07,6.9,0.23,0.1,0.3,19.34,27,810,1210,18,7.5,46,0.5,8.8,0.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salsa per insalata, italiana",Grassi e oli/Salse per insalate,,per 100 g di parte edibile,1270,309,32.1,3.2,15.9,11.4,0,4.9,4.1,0,0.1,0.1,2,0,59.4,1,1,0,8,8,0,0,0.17,0,0.02,0.7,0.01,0.1,0,14.13,25,790,1210,6.5,3.3,5.9,0.2,53,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsa per insalate con yogurt (senza olio),Grassi e oli/Salse per insalate,1.1,per 100 ml,280,67,3.3,2,0.8,0.2,10,5.7,5.7,0,0.1,3.6,0.6,0,87.3,35,34,32,16,16,0.03,0.16,0.04,0.27,0.1,6.4,0.33,6.7,0.1,0.1,170,220,370,130,15,100,0,15,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salsa tartara, con maionese di colza, fatta in casa ",Diversi/Salse,,per 100 g di parte edibile,1580,384,40,3.7,23,10.4,143,1.9,1.9,0.1,0.6,3.7,0.4,0,53.7,81,66,51,176,176,0.05,0.1,0.07,0.4,0.2,24.2,0.69,8.5,0.7,12.9,110,140,150,26,6.7,76,0.9,12,0.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsiccette Minipic,Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,1900,460,39.1,15.4,18.7,3.8,97,0.8,0.8,0,0,26.1,4.5,0,26.4,0,0,0,nd,nd,0.28,0.16,0.22,1.8,7.2,nd,0.9,3.9,1.6,0,390,1780,2540,0,28,330,3,nd,3.9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salsiccia Saucisson""""",Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,1930,467,44.2,16.1,20.5,4.8,71,0.5,0.5,0,0,16.7,2.5,0.1,38.6,7,7,7,0,0,0.72,0.2,0.39,1.72,4.27,2.2,0.57,59.2,0,0.61,190,1000,1470,2.4,21,79,1,1.1,1.8,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salsiccia Saucisson"", cotto (senza aggiunta di grassi o sale)""",Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,2110,511,47.9,17.5,22.3,5.2,85,0.6,0.6,0,0,19.3,2.6,0.1,32.2,8,8,8,0,0,0.65,0.23,0.35,1.45,3.86,1.7,0.51,50,0,0.66,190,1020,1770,2.5,26,95,1.1,1.3,2.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
