Nome,Categoria,Densità,Unità di riferimento,"Energia, kilojoules (kJ)","Energia, calorie (kcal)","Lipidi, totali (g)","Acidi grassi, saturi (g)","Acidi grassi, monoinsaturi (g)","Acidi grassi, polinsaturi (g)",Colesterolo (mg),"Glucidi, disponibili (g)",Zuccheri (g),Amido (g),Fibra alimentare (g),Proteine (g),Sale (NaCl) (g),Alcool (g),Acqua (g),"Attività di vitamina A, RE (µg-RE)","Attività di vitamina A, RAE (µg-RE)",Retinolo (µg),Attività di beta-carotene (µg-BCE),Beta-carotene (µg),Vitamina B1 (tiamina) (mg),Vitamina B2 (riboflavina) (mg),Vitamina B6 (piridossina) (mg),Vitamina B12 (cobalamina) (µg),Niacina (mg),Folati (µg),Acido pantotenico (mg),Vitamina C (acido ascorbico) (mg),Vitamina D (calciferolo) (µg),Attività di vitamina E (mg-ATE),Potassio (K) (mg),Sodio (Na) (mg),Cloro (Cl) (mg),Calcio (Ca) (mg),Magnesio (Mg) (mg),Fosforo (P) (mg),Ferro (Fe) (mg),Iodio (I) (µg),Zinco (Zn)  (mg),Selenio (Se) (µg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaretti (biscotti alle mandorle),Dolciumi/Biscotti,,per 100 g di parte edibile,1950,464,13,1,nd,2.8,0,76.7,76.4,0.1,2.6,8.7,0.1,0,0.1,0,0,0,0,0,0.04,0.32,0.03,0.02,0.49,15.3,0.15,0.1,0,6.74,220,42,47,69,62,130,0.9,1.7,0.8,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaretto alle nocciole,Dolciumi/Biscotti,,per 100 g di parte edibile,2260,544,37,2.6,29,3.8,0,37.4,33,0.2,6,12.2,0.2,0,8.9,0,0,0,0,0,0.28,0.1,0.31,0.02,0.84,48.8,1.03,1.2,0,11.26,480,85,110,100,100,200,2.3,5.5,1.8,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amido di frumento,"Prodotti a base di cereali, legumi e patate/Farine e amidi;Diversi/Gelificanti e leganti",,per 100 g di parte edibile,1480,348,0.1,0,0,0.1,0,85.8,0,85.8,1.2,0.4,0,0,12.3,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,16,2,5,0,4,20,0,0,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anacardi,"Noci, semi e frutti oleosi",,per 100 g di parte edibile,2460,593,45.2,7.8,23.8,7.8,0,23.2,3.1,20.1,3.6,21.5,0,0,4.6,0,0,0,0,0,0.59,0.06,0.42,0,1.1,45.5,1.2,0.5,0,0.84,660,9.2,18,40,270,540,5.9,5,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ananas, crudo",Frutta/Frutta fresca,,per 100 g di parte edibile,219,52,0.2,0,0,0.1,0,11.3,11.3,0,1.4,0.4,0,0,86.5,8,4,0,49,49,0.06,0.02,0.07,0,0.21,7.8,0.15,49.5,0,0.1,150,2,39,15,15,11,0.3,1.4,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ananas, non zuccherato, conserva",Frutta/Frutta cotta (incl. conserve),,per 100 g di parte edibile,218,51,0.2,tr.,tr.,0.1,0,11.3,11.3,0,1.4,0.4,0,0,86.5,8,4,0,49,49,0.06,0.03,0.08,0,0.27,7,0.17,9,0,0.1,130,2,39,14,15,11,0.3,tr.,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ananas, zuccherato, conserva",Frutta/Frutta cotta (incl. conserve),,per 100 g di parte edibile,366,86,0.2,tr.,tr.,0.1,0,20.2,20.2,tr.,1.3,0.4,0,0,77.9,nd,nd,nd,nd,nd,0.06,0.02,0.07,0,0.24,6.3,0.15,8.1,0,0.09,120,1.8,35,13,14,9.9,0.3,tr.,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anguria, cruda",Frutta/Frutta fresca,,per 100 g di parte edibile,129,31,0.3,tr.,tr.,tr.,0,6.3,6.3,0,0.3,0.5,0,0,92,62,31,0,370,339,0.03,0.02,0.07,0,0.27,4,0.17,7.5,0,0.1,110,2,8.3,7,10,9,0.2,10,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arachidi,"Noci, semi e frutti oleosi",,per 100 g di parte edibile,2580,623,49.1,8.4,25.5,12.9,0,14.8,5.9,5,8.6,26.1,0,0,2.2,0,0,0,0,0,0.6,0.43,0.02,0,12,101.7,2.48,0,0,5.54,710,18,7,65,160,380,1.6,13,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arachidi, tostate, salate",Snack salati/Noci e semi salati,,per 100 g di parte edibile,2610,631,50,8.6,24.7,12.4,0,15,4.2,8.9,8,26.2,1.3,0,1.2,0,0,0,0,0,0.14,0.07,0.43,0,12.4,66.6,1.17,<0.5,0,2.5,530,530,300,47,170,240,1.2,5.7,2.9,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arancia, cruda",Frutta/Frutta fresca,,per 100 g di parte edibile,185,44,0.2,tr.,tr.,tr.,0,8.6,8.6,0,1.8,1,0,0,86.6,33,17,0,199,93,0.1,0.03,0.05,0,0.35,18.3,0.2,51.7,0,0.24,180,4,4,40,10,16,0.1,0.9,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
