Food Name,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Calcium,Source,Price,Package Size,Package Size Parsed
Bread from white flour added calcium,100,9.6,1.8,43.8,2.9,0,2.7,16.7,442,0,110,1.15,228,Australian Government,,,
Bread from white flour added calcium toasted,100,11.1,2.1,50.9,3.4,0,3.1,,514,0,128,1.34,265,Australian Government,,,
Bread from white flour added dried fruit,100,8.3,3.9,50.5,2.8,0,15,37,190,0,250,2.12,45,Australian Government,,,
Bread from white flour added fibre,100,9.4,1.7,43.6,6.4,0,2.5,17.1,448,0,111,1.44,56,Australian Government,,,
Bread from white flour added fibre toasted,100,11.2,2,51.9,7.7,0,3,,534,0,132,1.72,67,Australian Government,,,
Bread from white flour added iron,100,9.6,1.8,43.8,2.9,0,2.7,16.7,447,0,135,7.08,68,Australian Government,,,
Bread from white flour added iron toasted,100,11.1,2.1,50.9,3.4,0,3.1,,520,0,158,8.23,79,Australian Government,,,
Bread from white flour added omega-3 polyunsaturates,100,8.9,2.1,46.6,3.1,0,2.4,26.52,448,0,111,1.44,56,Australian Government,,,
Bread from white flour added omega-3 polyunsaturates toasted,100,10.4,2.5,54.2,3.6,0,2.8,,521,0,129,1.68,65,Australian Government,,,
Bread from white flour extra grainy & seeds,100,10.4,4.6,42.5,5.3,0,2.5,,372,0,192,2.02,62,Australian Government,,,
Bread from white flour extra grainy & seeds toasted,100,12.2,5.4,50,6.2,0,2.9,,437,0,226,2.37,72,Australian Government,,,
Bread from white flour Italian-style commercial,100,9,2.5,46.8,3.9,0,2,20,500,0,98,0.84,16,Australian Government,,,
Bread from white flour Italian-style commercial toasted,100,10.7,3,55.7,4.6,0,2.4,,595,0,117,1,19,Australian Government,,,
Bread from white flour toasted,100,11.4,2.1,52.1,3.5,0,3.2,,534,0,143,1.76,68,Australian Government,,,
Bread from white flour Turkish,100,7.8,2.8,45.5,3.6,0,2.2,14.6,530,0,110,0.8,50,Australian Government,,,
Bread from white flour Turkish toasted,100,9.2,3.3,54.2,4.3,0,2.6,,631,0,131,0.95,60,Australian Government,,,
Bread from white Jackaroo flour added fibre and vitamins B1 & folate & Fe,100,8.3,2.3,45.7,6.5,0,3.8,17.2,410,0,140,4.8,150,Australian Government,,,
Bread from white Jackaroo flour added fibre and vitamins B1 & folate & Fe toasted,100,9.8,2.7,53.8,7.6,0,4.5,,482,0,165,5.65,176,Australian Government,,,
Bread from white or wholemeal flour organic,100,11.6,2.9,40.3,5.6,0,1.3,22.1,490,0,180,1.8,48,Australian Government,,,
Bread from white or wholemeal flour organic toasted,100,13.7,3.4,47.4,6.6,0,1.5,,576,0,212,2.12,56,Australian Government,,,
Bread from wholemeal flour,100,11.2,2.3,37.7,6.2,0,2.7,17.8,421,0,197,2.03,78,Australian Government,,,
Bread from wholemeal flour extra grainy & seeds,100,11.6,4.6,37.5,7.1,0,2.5,,372,0,229,2.26,80,Australian Government,,,
Bread from wholemeal flour extra grainy & seeds toasted,100,13.6,5.4,44.1,8.4,0,3,,437,0,270,2.65,94,Australian Government,,,
Bread from wholemeal flour toasted,100,13.2,2.7,44.4,7.3,0,3.2,,495,0,231,2.39,91,Australian Government,,,
Bread garlic or herb commercial cooked,100,8.4,15.5,39,3.2,0,3.6,,664,26,137,1.18,101,Australian Government,,,
